title,F,M
"$1,000,000 Duck (1971)",3.375,2.761904761904762
'Night Mother (1986),3.388888888888889,3.3529411764705883
'Til There Was You (1997),2.675675675675676,2.7333333333333334
"'burbs, The (1989)",2.7934782608695654,2.962085308056872
...And Justice for All (1979),3.8285714285714287,3.6890243902439024
1-900 (1994),2.0,3.0
10 Things I Hate About You (1999),3.646551724137931,3.311965811965812
101 Dalmatians (1961),3.79144385026738,3.5
101 Dalmatians (1996),3.24,2.9112149532710285
12 Angry Men (1957),4.1843971631205665,4.328421052631579
"13th Warrior, The (1999)",3.112,3.168
187 (1997),2.4285714285714284,2.7916666666666665
2 Days in the Valley (1996),3.488888888888889,3.2448132780082988
20 Dates (1998),2.6206896551724137,2.918181818181818
"20,000 Leagues Under the Sea (1954)",3.6701030927835046,3.709205020920502
200 Cigarettes (1999),3.1690140845070425,2.7
2001: A Space Odyssey (1968),3.825581395348837,4.129737609329447
2010 (1984),3.4468085106382977,3.41371158392435
24 7: Twenty Four Seven (1997),5.0,3.75
24-hour Woman (1998),2.0,1.6
28 Days (2000),3.2094240837696337,2.977707006369427
3 Ninjas: High Noon On Mega Mountain (1998),1.4,1.351351351351351
3 Strikes (2000),,2.75
"301, 302 (1995)",3.0,2.8571428571428568
"39 Steps, The (1935)",3.9655172413793114,4.107692307692306
"400 Blows, The (Les Quatre cents coups) (1959)",4.48936170212766,4.264285714285714
42 Up (1998),3.966666666666667,4.362068965517241
52 Pick-Up (1986),3.3043478260869565,3.2991452991452985
54 (1998),2.701754385964912,2.7821782178217815
"7th Voyage of Sinbad, The (1958)",3.4090909090909087,3.658878504672897
8 1/2 (1963),4.096153846153847,4.107954545454546
8 1/2 Women (1999),2.8571428571428568,2.4047619047619047
8 Heads in a Duffel Bag (1997),2.3103448275862073,2.3189655172413794
8 Seconds (1994),3.2692307692307687,3.347826086956522
8MM (1999),2.90625,2.8509615384615383
A Chef in Love (1996),3.4285714285714284,3.647058823529412
Abbott and Costello Meet Frankenstein (1948),3.365853658536585,3.4606060606060605
"Abominable Snowman, The (1957)",2.0,2.75
About Adam (2000),3.5,2.833333333333333
About Last Night... (1986),3.1886792452830184,3.140909090909091
Above the Rim (1994),3.1666666666666665,3.0
"Absent Minded Professor, The (1961)",3.4693877551020407,3.4468085106382977
Absolute Power (1997),3.469135802469136,3.3277591973244145
"Abyss, The (1989)",3.6592356687898087,3.689507494646681
Ace Ventura: Pet Detective (1994),3.0,3.1979166666666665
Ace Ventura: When Nature Calls (1995),2.269662921348315,2.543333333333333
Aces: Iron Eagle III (1992),1.0909090909090908,1.6929824561403508
"Acid House, The (1998)",4.0,2.2
Across the Sea of Time (1995),4.333333333333333,3.0
Action Jackson (1988),2.263157894736842,2.253012048192771
"Actor's Revenge, An (Yukinojo Henge) (1963)",3.0,3.333333333333333
Addams Family Values (1993),3.0,2.878531073446328
"Addams Family, The (1991)",3.186170212765957,3.1634980988593155
Addicted to Love (1997),3.0476190476190474,3.1578947368421053
"Addiction, The (1995)",2.952380952380953,3.020833333333333
Adrenalin: Fear the Rush (1996),2.0,1.5
Adventures in Babysitting (1987),3.45578231292517,3.208121827411168
"Adventures of Buckaroo Bonzai Across the 8th Dimension, The (1984)",3.3085106382978724,3.4023210831721467
"Adventures of Elmo in Grouchland, The (1999)",2.833333333333333,1.9047619047619049
"Adventures of Milo and Otis, The (1986)",3.523809523809524,3.271844660194174
"Adventures of Pinocchio, The (1996)",3.0,2.8684210526315788
"Adventures of Priscilla, Queen of the Desert, The (1994)",3.989071038251366,3.6888111888111887
"Adventures of Robin Hood, The (1938)",4.166666666666667,3.918367346938776
"Adventures of Rocky and Bullwinkle, The (2000)",2.4318181818181817,2.5123456790123457
"Adventures of Sebastian Cole, The (1998)",3.6428571428571432,3.421052631578948
"Affair of Love, An (Une Liaison Pornographique) (1999)",3.842105263157895,3.5
"Affair to Remember, An (1957)",4.141592920353983,3.6710526315789473
Affliction (1997),3.534482758620689,3.6428571428571432
"African Queen, The (1951)",4.324232081911264,4.223821989528797
After Life (1998),4.4,4.012195121951219
Afterglow (1997),3.125,3.095238095238096
Against All Odds (1984),3.363636363636364,3.191011235955056
"Age of Innocence, The (1993)",3.8270676691729317,3.3395061728395063
Agnes Browne (1999),3.571428571428572,2.9230769230769234
Agnes of God (1985),3.5348837209302326,3.2448979591836733
Aimée & Jaguar (1999),3.555555555555556,3.727272727272727
Aiqing wansui (1994),3.0,
Air America (1990),2.8235294117647056,2.7411764705882358
Air Bud (1997),3.0571428571428565,2.2337662337662336
Air Bud: Golden Receiver (1998),2.833333333333333,1.862745098039216
Air Force One (1997),3.6995884773662553,3.5558223289315727
"Air Up There, The (1994)",3.136363636363636,2.5
Airheads (1994),2.4509803921568634,2.5515463917525767
Airplane II: The Sequel (1982),2.90625,2.9956709956709955
Airplane! (1980),3.656565656565657,4.0644194756554315
Airport '77 (1977),2.2857142857142856,2.3692307692307693
