% Dades de B. Flury and H. Riedwyl, "Multivariate Statistics, a
% practical approach", Chapman and Hall (1988), pag. 214
% Resultats de proves de decathlon a una competició celebrada a
% Götzis (Austria), l'any 1982.
% La taula conté les puntuacions obtingudes per 20 atletes a les 10
% proves:
%  1. Carrera de 100 m
%  2. Salt de longitud
%  3. Llançament de pes
%  4. Salt d'alçada
%  5. Carrera de 400 m
%  6. 110 m tanques
%  7. Llançament de disc
%  8. Salt amb perxa
%  9. Llançament de javelina
% 10. Carrera de 1500 m
{
935 1010 807 925 955 926 769 1028 767 585
817 1004 844 950 905 901 781  957 738 632
768  893 759 900 825 859 868  981 732 662
869  867 802 874 915 856 804  884 857 448
787  871 781 874 878 880 782  884 807 592
738  814 700 950 848 850 870  957 764 569
763  887 604 900 862 839 709 1005 753 658
795  853 701 874 890 841 680  859 772 670
903  818 700 849 877 919 718  884 716 460
761  846 728 900 765 881 781  981 714 485
747  796 682 849 792 800 746  932 767 564
771  824 668 874 802 840 704  859 710 609
785  911 728 680 878 805 709  884 747 527
657  810 698 849 773 820 746  909 771 612
696  774 765 725 785 791 706  932 795 578
724  746 763 849 785 870 724  807 760 509
712  875 754 725 829 838 762  807 585 516
756  873 624 725 863 815 655  957 620 474
622  820 673 769 759 786 698  807 695 619
668  834 601 849 753 751 655  807 642 551
}

