league,season,team_goals,match_goals
1. Bundesliga,2008/2009,1.4607843137254901,2.9215686274509802
1. Bundesliga,2009/2010,1.4150326797385622,2.8300653594771243
1. Bundesliga,2010/2011,1.4607843137254901,2.9215686274509802
1. Bundesliga,2011/2012,1.4297385620915033,2.8594771241830066
1. Bundesliga,2012/2013,1.4673202614379084,2.934640522875817
1. Bundesliga,2013/2014,1.5800653594771241,3.1601307189542482
1. Bundesliga,2014/2015,1.3774509803921569,2.7549019607843137
1. Bundesliga,2015/2016,1.4150326797385622,2.8300653594771243
Ekstraklasa,2008/2009,1.1116504854368932,2.2233009708737863
Ekstraklasa,2009/2010,1.1083333333333334,2.216666666666667
Ekstraklasa,2010/2011,1.2041666666666666,2.408333333333333
Ekstraklasa,2011/2012,1.0979166666666667,2.1958333333333333
Ekstraklasa,2012/2013,1.2458333333333333,2.4916666666666667
Ekstraklasa,2013/2014,1.3208333333333333,2.6416666666666666
Ekstraklasa,2014/2015,1.3083333333333333,2.6166666666666667
Ekstraklasa,2015/2016,1.3229166666666667,2.6458333333333335
Eredivisie,2008/2009,1.391089108910891,2.782178217821782
Eredivisie,2009/2010,1.457516339869281,2.915032679738562
Eredivisie,2010/2011,1.6127450980392157,3.2254901960784315
Eredivisie,2011/2012,1.6290849673202614,3.258169934640523
Eredivisie,2012/2013,1.5751633986928104,3.150326797385621
Eredivisie,2013/2014,1.5980392156862746,3.196078431372549
Eredivisie,2014/2015,1.5392156862745099,3.0784313725490198
Eredivisie,2015/2016,1.4901960784313726,2.980392156862745
Jupiler League,2008/2009,1.2908163265306123,2.5816326530612246
Jupiler League,2009/2010,1.3452380952380953,2.6904761904761907
Jupiler League,2010/2011,1.3229166666666667,2.6458333333333335
Jupiler League,2011/2012,1.4395833333333334,2.879166666666667
Jupiler League,2012/2013,1.4645833333333333,2.9291666666666667
Jupiler League,2013/2014,1.25,2.5
Jupiler League,2014/2015,1.3916666666666666,2.783333333333333
Jupiler League,2015/2016,1.4458333333333333,2.8916666666666666
LIGA BBVA,2008/2009,1.4486842105263158,2.8973684210526316
LIGA BBVA,2009/2010,1.356578947368421,2.713157894736842
LIGA BBVA,2010/2011,1.3710526315789473,2.7421052631578946
LIGA BBVA,2011/2012,1.381578947368421,2.763157894736842
LIGA BBVA,2012/2013,1.4355263157894738,2.8710526315789475
LIGA BBVA,2013/2014,1.375,2.75
LIGA BBVA,2014/2015,1.3276315789473685,2.655263157894737
LIGA BBVA,2015/2016,1.3723684210526317,2.7447368421052634
Liga ZON Sagres,2008/2009,1.1948529411764706,2.389705882352941
Liga ZON Sagres,2009/2010,1.2520833333333334,2.504166666666667
Liga ZON Sagres,2010/2011,1.2166666666666666,2.433333333333333
Liga ZON Sagres,2011/2012,1.3208333333333333,2.6416666666666666
Liga ZON Sagres,2012/2013,1.3895833333333334,2.779166666666667
Liga ZON Sagres,2013/2014,1.1854166666666666,2.370833333333333
Liga ZON Sagres,2014/2015,1.2467320261437909,2.4934640522875817
Liga ZON Sagres,2015/2016,1.357843137254902,2.715686274509804
Ligue 1,2008/2009,1.1289473684210527,2.2578947368421054
Ligue 1,2009/2010,1.2052631578947368,2.4105263157894736
Ligue 1,2010/2011,1.1710526315789473,2.3421052631578947
Ligue 1,2011/2012,1.2578947368421052,2.5157894736842104
Ligue 1,2012/2013,1.2723684210526316,2.544736842105263
Ligue 1,2013/2014,1.2276315789473684,2.455263157894737
Ligue 1,2014/2015,1.2460526315789473,2.4921052631578946
Ligue 1,2015/2016,1.263157894736842,2.526315789473684
Premier League,2008/2009,1.2394736842105263,2.4789473684210526
Premier League,2009/2010,1.3855263157894737,2.7710526315789474
Premier League,2010/2011,1.3986842105263158,2.7973684210526315
Premier League,2011/2012,1.4026315789473685,2.805263157894737
Premier League,2012/2013,1.3986842105263158,2.7973684210526315
Premier League,2013/2014,1.3842105263157896,2.768421052631579
Premier League,2014/2015,1.2828947368421053,2.5657894736842106
Premier League,2015/2016,1.35,2.7
Scottish Premiership,2008/2009,1.2017543859649122,2.4035087719298245
Scottish Premiership,2009/2010,1.2828947368421053,2.5657894736842106
Scottish Premiership,2010/2011,1.280701754385965,2.56140350877193
Scottish Premiership,2011/2012,1.3179824561403508,2.6359649122807016
Scottish Premiership,2012/2013,1.3662280701754386,2.732456140350877
Scottish Premiership,2013/2014,1.3728070175438596,2.745614035087719
Scottish Premiership,2014/2015,1.287280701754386,2.574561403508772
Scottish Premiership,2015/2016,1.4254385964912282,2.8508771929824563
Serie A,2008/2009,1.3,2.6
Serie A,2009/2010,1.305263157894737,2.610526315789474
Serie A,2010/2011,1.256578947368421,2.513157894736842
Serie A,2011/2012,1.291899441340782,2.583798882681564
Serie A,2012/2013,1.319736842105263,2.639473684210526
Serie A,2013/2014,1.361842105263158,2.723684210526316
Serie A,2014/2015,1.3430079155672823,2.6860158311345645
Serie A,2015/2016,1.2881578947368422,2.5763157894736843
Super League,2008/2009,1.644736842105263,3.289473684210526
Super League,2009/2010,1.663888888888889,3.327777777777778
Super League,2010/2011,1.4916666666666667,2.9833333333333334
Super League,2011/2012,1.3117283950617284,2.623456790123457
Super League,2012/2013,1.2833333333333334,2.566666666666667
Super League,2013/2014,1.4444444444444444,2.888888888888889
Super League,2014/2015,1.4361111111111111,2.8722222222222222
Super League,2015/2016,1.5722222222222222,3.1444444444444444
