league,team_flag,points
1. Bundesliga,away_team,1.1556372549019607
1. Bundesliga,home_team,1.6004901960784315
Ekstraklasa,away_team,1.1026360067302299
Ekstraklasa,home_team,1.6208637128435222
Eredivisie,away_team,1.0971912617030763
Eredivisie,home_team,1.6656263932233615
Jupiler League,away_team,1.1013157894736842
Jupiler League,home_team,1.6539473684210526
LIGA BBVA,away_team,1.0713815789473684
LIGA BBVA,home_team,1.6970394736842105
Liga ZON Sagres,away_team,1.1570841889117043
Liga ZON Sagres,home_team,1.5836755646817249
Ligue 1,away_team,1.09375
Ligue 1,home_team,1.6236842105263158
Premier League,away_team,1.1131578947368421
Premier League,home_team,1.6292763157894736
Scottish Premiership,away_team,1.2598684210526316
Scottish Premiership,home_team,1.4950657894736843
Serie A,away_team,1.0732515744116673
Serie A,home_team,1.6629101756711966
Super League,away_team,1.152503793626707
Super League,home_team,1.6077389984825494
