id;team_fifa_api_id;team_api_id;date;buildUpPlaySpeed;buildUpPlaySpeedClass;buildUpPlayDribbling;buildUpPlayDribblingClass;buildUpPlayPassing;buildUpPlayPassingClass;buildUpPlayPositioningClass;chanceCreationPassing;chanceCreationPassingClass;chanceCreationCrossing;chanceCreationCrossingClass;chanceCreationShooting;chanceCreationShootingClass;chanceCreationPositioningClass;defencePressure;defencePressureClass;defenceAggression;defenceAggressionClass;defenceTeamWidth;defenceTeamWidthClass;defenceDefenderLineClass
1;434;9930;22/2/2010 0:00;60;Balanced;;Little;50;Mixed;Organised;60;Normal;65;Normal;55;Normal;Organised;50;Medium;55;Press;45;Normal;Cover
2;434;9930;19/9/2014 0:00;52;Balanced;48;Normal;56;Mixed;Organised;54;Normal;63;Normal;64;Normal;Organised;47;Medium;44;Press;54;Normal;Cover
3;434;9930;10/9/2015 0:00;47;Balanced;41;Normal;54;Mixed;Organised;54;Normal;63;Normal;64;Normal;Organised;47;Medium;44;Press;54;Normal;Cover
4;77;8485;22/2/2010 0:00;70;Fast;;Little;70;Long;Organised;70;Risky;70;Lots;70;Lots;Organised;60;Medium;70;Double;70;Wide;Cover
5;77;8485;22/2/2011 0:00;47;Balanced;;Little;52;Mixed;Organised;53;Normal;48;Normal;52;Normal;Organised;47;Medium;47;Press;52;Normal;Cover
6;77;8485;22/2/2012 0:00;58;Balanced;;Little;62;Mixed;Organised;45;Normal;70;Lots;55;Normal;Organised;40;Medium;40;Press;60;Normal;Cover
7;77;8485;20/9/2013 0:00;62;Balanced;;Little;45;Mixed;Organised;40;Normal;50;Normal;55;Normal;Organised;42;Medium;42;Press;60;Normal;Cover
8;77;8485;19/9/2014 0:00;58;Balanced;64;Normal;62;Mixed;Organised;56;Normal;68;Lots;57;Normal;Organised;41;Medium;42;Press;60;Normal;Cover
9;77;8485;10/9/2015 0:00;59;Balanced;64;Normal;53;Mixed;Organised;51;Normal;72;Lots;63;Normal;Free Form;49;Medium;45;Press;63;Normal;Cover
10;614;8576;22/2/2010 0:00;60;Balanced;;Little;40;Mixed;Organised;45;Normal;35;Normal;55;Normal;Organised;30;Deep;70;Double;30;Narrow;Offside Trap
11;614;8576;22/2/2011 0:00;65;Balanced;;Little;45;Mixed;Organised;65;Normal;65;Normal;50;Normal;Organised;45;Medium;45;Press;50;Normal;Cover
12;614;8576;22/2/2012 0:00;59;Balanced;;Little;52;Mixed;Organised;48;Normal;34;Normal;52;Normal;Organised;38;Medium;47;Press;53;Normal;Cover
13;614;8576;20/9/2013 0:00;59;Balanced;;Little;52;Mixed;Organised;48;Normal;34;Normal;52;Normal;Organised;38;Medium;47;Press;53;Normal;Cover
14;614;8576;19/9/2014 0:00;59;Balanced;57;Normal;52;Mixed;Organised;48;Normal;38;Normal;52;Normal;Organised;38;Medium;47;Press;53;Normal;Cover
15;614;8576;10/9/2015 0:00;59;Balanced;57;Normal;52;Mixed;Organised;48;Normal;38;Normal;52;Normal;Organised;38;Medium;47;Press;53;Normal;Cover
16;47;8564;22/2/2010 0:00;45;Balanced;;Little;30;Short;Free Form;55;Normal;45;Normal;70;Lots;Free Form;30;Deep;35;Press;60;Normal;Offside Trap
17;47;8564;22/2/2011 0:00;65;Balanced;;Little;50;Mixed;Organised;50;Normal;60;Normal;50;Normal;Free Form;50;Medium;50;Press;50;Normal;Offside Trap
18;47;8564;22/2/2012 0:00;45;Balanced;;Little;50;Mixed;Organised;65;Normal;20;Little;50;Normal;Free Form;45;Medium;45;Press;50;Normal;Cover
